team,player,number,position,birthplace,nat,notes
Anaheim Ducks,Ryan Getzlaf,31,C,"Regina, SK",CA,
Arizona Coyotes,Shane Doan,40,RW,"Halkirk, AB",CA,
Boston Bruins,Zdeno Chara,39,D,Trencin,CS,
Buffalo Sabres,Brian Gionta,38,RW,"Rochester, NY",US,
Calgary Flames,Mark Giordano,33,D,"Toronto, ON",CA,
Carolina Hurricanes,,,,,,No Captain
Chicago Blackhawks,Jonathan Toews,28,C,"Winnipeg, MB",CA,
Colorado Avalanche,Gabriel Landeskog,24,LW,Stockholm,SE,
Columbus Blue Jackets,Nick Foligno,29,LW,"Buffalo, NY",US,
Dallas Stars,Jamie Benn,27,LW,"Victoria, BC",CA,
Detroit Red Wings,Henrik Zetterberg,36,LW,Njurunda,SE,
Edmonton Oilers,Connor McDavid,20,C,"Richmond Hill, ON",CA,
Florida Panthers,Derek MacKenzie,35,C,"Sudbury, ON",CA,
Los Angeles Kings,Anze Kopitar,29,C,Jesenice,SI,
Minnesota Wild,Mikko Koivu,33,C,Turku,FI,
Montreal Canadiens,Max Pacioretty,28,LW,"New Canaan, CT",US,
Nashville Predators,Mike Fisher,36,C,"Peterborough, ON",CA,
New Jersey Devils,Andy Greene,34,D,"Trenton, MI",US,
New York Islanders,John Tavares,26,C,"Mississauga, ON",CA,
New York Rangers,Ryan McDonagh,27,D,"St. Paul, MN",US,
Ottawa Senators,Erik Karlsson,26,D,Landsbro,SE,
Philadelphia Flyers,Claude Giroux,29,C/RW,"Hearst, ON",CA,
Pittsburgh Penguins,Sidney Crosby,29,C,"Cole Harbour, NS",CA,
San Jose Sharks,Joe Pavelski,32,C,"Plover, WI",US,
St. Louis Blues,Alex Pietrangelo,27,D,"King City, ON",CA,
Tampa Bay Lightning,Steven Stamkos,26,C,"Markham, ON",CA,
Toronto Maple Leafs,,,,,,No Captain
Vancouver Canucks,Henrik Sedin,36,C,Ornskoldsvik,SE,
Washington Capitals,Alex Ovechkin,31,LW,Moscow,SU,
Winnipeg Jets,Blake Wheeler,30,RW,"Plymouth, MN",US,
